,Waktu,Pipi,Alis
0,59:02.2,1.97266,4.70215
1,59:02.3,1.95312,4.70215
2,59:02.3,1.96289,4.70215
3,59:02.3,1.9873,4.70215
4,59:02.3,1.97754,4.70215
5,59:02.3,1.95801,4.70215
6,59:02.3,2.00684,4.69727
7,59:02.4,2.03125,4.70215
8,59:02.4,1.96289,4.70215
9,59:02.4,1.94824,4.70215
10,59:02.4,1.96289,4.70215
11,59:02.4,1.98242,4.70215
12,59:02.4,1.97754,4.70215
13,59:02.5,1.95312,4.70215
14,59:02.5,1.94336,4.70215
15,59:02.5,1.97754,4.70215
16,59:02.5,1.96289,4.70215
17,59:02.5,1.91406,4.70215
18,59:02.6,1.91406,4.70215
19,59:02.6,1.94824,4.70215
20,59:02.6,1.94336,4.70215
21,59:02.6,1.93848,4.70215
22,59:02.6,1.91895,4.70215
23,59:02.6,1.95801,4.70215
24,59:02.7,1.99219,4.70215
25,59:02.7,1.94336,4.70215
26,59:02.7,1.92383,4.70215
27,59:02.7,1.93359,4.70215
28,59:02.7,1.96777,4.70215
29,59:02.7,1.97266,4.70215
30,59:02.8,1.95801,4.69727
31,59:02.8,1.95801,4.70215
32,59:02.8,1.99707,4.70215
33,59:02.8,2.00684,4.70215
34,59:02.8,1.94824,4.70215
35,59:02.9,1.95312,4.70215
36,59:02.9,1.97754,4.70215
37,59:02.9,1.98242,4.70215
38,59:02.9,1.97754,4.70215
39,59:02.9,1.95312,4.70215
40,59:02.9,1.97754,4.69727
41,59:03.0,2.0166,4.70215
42,59:03.0,1.97266,4.70215
43,59:03.0,1.93359,4.70215
44,59:03.0,1.92871,4.70215
45,59:03.0,1.95801,4.70215
46,59:03.0,1.95312,4.70215
47,59:03.1,1.94824,4.70215
48,59:03.1,1.92871,4.69727
49,59:03.1,1.97266,4.69727
50,59:03.1,1.98242,4.70215
51,59:03.1,1.91895,4.70215
52,59:03.2,1.90918,4.69727
53,59:03.2,1.93359,4.70215
54,59:03.2,1.95312,4.70215
55,59:03.2,1.94824,4.70215
56,59:03.2,1.92871,4.70215
57,59:03.2,1.95312,4.70215
58,59:03.3,2.00195,4.70215
59,59:03.3,1.98242,4.70215
60,59:03.3,1.92383,4.69727
61,59:03.3,1.91895,4.70215
62,59:03.3,1.96777,4.70215
63,59:03.3,1.96289,4.70215
64,59:03.4,1.97266,4.70215
65,59:03.4,1.94336,4.70215
66,59:03.4,1.96777,4.69727
67,59:03.4,2.00195,4.70215
68,59:03.4,1.95801,4.70215
69,59:03.5,1.93848,4.70215
70,59:03.5,1.95312,4.70215
71,59:03.5,1.9873,4.69727
72,59:03.5,1.97266,4.70215
73,59:03.5,1.95312,4.70215
74,59:03.5,1.95801,4.70215
75,59:03.6,2.00195,4.70215
76,59:03.6,1.99219,4.70215
77,59:03.6,1.92871,4.70215
78,59:03.6,1.91895,4.70215
79,59:03.6,1.95801,4.70215
80,59:03.7,1.96777,4.70215
81,59:03.7,1.97266,4.69727
82,59:03.7,1.93848,4.70215
83,59:03.7,1.95801,4.70215
84,59:03.7,2.00684,4.70215
85,59:03.7,1.97266,4.70215
86,59:03.8,1.94824,4.70215
87,59:03.8,1.94824,4.70215
88,59:03.8,1.98242,4.70215
89,59:03.8,1.96777,4.70215
90,59:03.8,1.95801,4.69727
91,59:03.8,1.95312,4.70215
92,59:03.9,2.00195,4.70215
93,59:03.9,2.00684,4.70215
94,59:03.9,1.93359,4.70215
95,59:03.9,1.91895,4.70215
96,59:03.9,1.95312,4.70215
97,59:04.0,1.97266,4.70215
98,59:04.0,1.97266,4.70215
99,59:04.0,1.94824,4.70215
100,59:04.0,1.95801,4.70215
101,59:04.0,2.00195,4.70215
102,59:04.0,1.97754,4.70215
103,59:04.1,1.93359,4.70215
104,59:04.1,1.92871,4.70215
105,59:04.1,1.97266,4.70215
106,59:04.1,1.95312,4.70215
107,59:04.1,1.95312,4.70215
108,59:04.1,1.93848,4.69727
109,59:04.2,1.98242,4.69727
110,59:04.2,2.00684,4.70215
111,59:04.2,1.93848,4.70215
112,59:04.2,1.91895,4.70215
113,59:04.2,1.93359,4.70215
114,59:04.3,1.95312,4.70215
115,59:04.3,1.95801,4.70215
116,59:04.3,1.94824,4.70215
117,59:04.3,1.96777,4.70215
118,59:04.3,2.0166,4.70215
119,59:04.3,2.00684,4.70215
120,59:04.4,1.93848,4.70215
121,59:04.4,1.91895,4.70215
122,59:04.4,1.96777,4.70215
123,59:04.4,1.96777,4.70215
124,59:04.4,1.97266,4.69727
125,59:04.4,1.95312,4.70215
126,59:04.5,1.9873,4.69727
127,59:04.5,2.00684,4.69727
128,59:04.5,1.94824,4.70215
129,59:04.5,1.90918,4.70215
130,59:04.5,1.91406,4.70215
131,59:04.6,1.94336,4.69727
132,59:04.6,1.93848,4.70215
133,59:04.6,1.92871,4.70215
134,59:04.6,1.91895,4.70215
135,59:04.6,1.97266,4.70215
136,59:04.6,1.97754,4.70215
137,59:04.7,1.90918,4.69727
138,59:04.7,1.88965,4.70215
139,59:04.7,1.92383,4.70215
140,59:04.7,1.92871,4.69727
141,59:04.7,1.93359,4.69727
142,59:04.7,1.92871,4.70215
143,59:04.8,1.95801,4.69727
144,59:04.8,2.00684,4.70215
145,59:04.8,1.96777,4.69727
146,59:04.8,1.91895,4.70215
147,59:04.8,1.92383,4.70215
148,59:04.9,1.97266,4.70215
149,59:04.9,1.96777,4.69727
150,59:04.9,1.97266,4.70215
151,59:04.9,1.95312,4.69727
152,59:04.9,2.00195,4.69727
153,59:04.9,2.02148,4.70215
154,59:05.0,1.95312,4.70215
155,59:05.0,1.92383,4.70215
156,59:05.0,1.94336,4.70215
157,59:05.0,1.95801,4.69727
158,59:05.0,1.95801,4.70215
159,59:05.0,1.93848,4.69727
160,59:05.1,1.93848,4.70215
161,59:05.1,1.9873,4.70215
162,59:05.1,1.95801,4.70215
163,59:05.1,1.9043,4.70215
164,59:05.1,1.88477,4.70215
165,59:05.2,1.93359,4.70215
166,59:05.2,1.92383,4.70215
167,59:05.2,1.93359,4.70215
168,59:05.2,1.89941,4.70215
169,59:05.2,1.94336,4.69727
170,59:05.2,1.97754,4.69727
171,59:05.3,1.92383,4.70215
172,59:05.3,1.9043,4.70215
173,59:05.3,1.92871,4.70215
174,59:05.3,1.95312,4.69727
175,59:05.3,1.94824,4.69727
176,59:05.4,1.93848,4.70215
177,59:05.4,1.94824,4.70215
178,59:05.4,2.00195,4.70215
179,59:05.4,1.99219,4.70215
180,59:05.4,1.91895,4.70215
181,59:05.4,1.91406,4.70215
182,59:05.5,1.95312,4.70215
183,59:05.5,1.95801,4.70215
184,59:05.5,1.96777,4.70215
185,59:05.5,1.93359,4.70215
186,59:05.5,1.95801,4.70215
187,59:05.5,2.00195,4.70215
188,59:05.6,1.95312,4.70215
189,59:05.6,1.91406,4.70215
190,59:05.6,1.90918,4.70215
191,59:05.6,1.94824,4.70215
192,59:05.6,1.92383,4.70215
193,59:05.7,1.91895,4.70215
194,59:05.7,1.90918,4.70215
195,59:05.7,1.95801,4.69727
196,59:05.7,1.97266,4.69727
197,59:05.7,1.9043,4.70215
198,59:05.7,1.88965,4.70215
199,59:05.8,1.91895,4.70215
200,59:05.8,1.93359,4.70215
201,59:05.8,1.94336,4.70215
202,59:05.8,1.91406,4.70215
203,59:05.8,1.92871,4.70215
204,59:05.8,1.97754,4.70215
205,59:05.9,1.95312,4.70215
206,59:05.9,1.91895,4.70215
207,59:05.9,1.91895,4.69727
208,59:05.9,1.96289,4.70215
209,59:05.9,1.95312,4.70215
210,59:06.0,1.96289,4.70215
211,59:06.0,1.93848,4.70215
212,59:06.0,1.97754,4.69727
213,59:06.0,2.00684,4.70215
214,59:06.0,1.96289,4.70215
215,59:06.0,1.94824,4.70215
216,59:06.1,1.99219,4.70215
217,59:06.1,2.01172,4.69727
218,59:06.1,2.00684,4.69727
219,59:06.1,1.97266,4.70215
220,59:06.1,1.96777,4.70215
221,59:06.1,2.01172,4.70215
222,59:06.1,2.00195,4.70215
223,59:06.1,1.95312,4.70215
224,59:06.2,1.95801,4.70215
225,59:06.2,1.99219,4.70215
226,59:06.2,1.97754,4.70215
227,59:06.3,1.97754,4.70215
228,59:06.3,1.94336,4.70215
229,59:06.3,1.97266,4.70215
230,59:06.3,2.00684,4.70215
231,59:06.3,1.96777,4.70215
