STDEV1,AVG1,MDN1,STDEV2,AVG2,MDN2,EMOSI
0.074680603,1.73872586,1.73828,0.025192191,0.41195796,0.41016,4
0.027562832,2.01842277,2.0166,0.002408571,4.70016383,4.70215,4
0.043579939,1.93882324,1.93359,0.002432598,4.70008086,4.70215,4
0.029694186,1.91284682,1.90918,0.002322544,4.70046152,4.70215,4
0.032939188,1.90025408,1.89453,0.002271836,4.70060304,4.70215,4
0.038331209,1.90995124,1.90918,0.002247912,4.7006616,4.70215,4
0.001983251,4.70214512,4.70215,0.079969243,2.74695825,2.74414,4
0.001792428,4.7022232,4.70215,0.07794475,2.75063977,2.74902,4
0.00178684,4.70211096,4.70215,0.069541598,2.74096684,2.73926,4
0.001983203,4.70213536,4.70215,0.079731605,2.71492207,2.71484,4
0.001940339,4.70218904,4.70215,0.065608381,2.68119652,2.68555,4
0.036785453,2.84015602,2.8418,0.005331597,0.05803437,0.05859,4
0.032971061,2.8642821,2.86621,1.422854192,4.18487071,4.69727,4
0.037760124,2.87825667,2.88086,0.002477969,4.69960748,4.69727,4
0.037996398,2.92903773,2.92969,0.002424741,4.69942696,4.69727,4
0.072144659,3.05393555,3.05664,0.002453202,4.69928539,4.69727,4
0.002526629,4.70409712,4.70215,0.062135459,1.61789585,1.61133,1
0.002540672,4.70412152,4.70215,0.038785366,1.50969255,1.50879,1
0.002529444,4.70411176,4.70215,0.037989808,1.59747571,1.5918,1
0.002488604,4.70409712,4.70215,0.049119261,1.58068386,1.57715,1
0.002509589,4.70410688,4.70215,0.049143332,1.57651368,1.57227,1
0.009032797,0.85039493,0.84961,0.055684269,3.34875009,3.34961,1
0.010098131,0.86964294,0.86914,0.082017232,3.56663596,3.5791,1
0.033851822,1.15213927,1.15723,0.058654322,3.47946309,3.48145,1
0.014426329,1.2220751,1.2207,0.050239609,3.61185553,3.61816,1
0.048454821,1.20685547,1.22559,0.108600419,3.85051742,3.83301,1
0.858203421,1.45041031,1.691895,0.029602814,0.40548349,0.40527,1
0.339860783,2.89836429,2.82715,0.025300902,0.40316908,0.40039,1
0.356255851,2.60046896,2.59277,0.023552227,0.42295858,0.4248,1
0.107682381,3.0920217,3.07617,0.024158494,0.4383692,0.43945,1
0.420641745,2.96331565,2.9248,0.02542954,0.4473046,0.44922,1
0.049535031,3.07788086,3.07617,0.002463866,4.69942692,4.69727,1
0.177624929,3.14701674,3.12012,0.002493001,4.69935368,4.69727,1
0.037447675,3.21430675,3.21777,0.00246899,4.69947572,4.69727,1
0.037749428,3.28328636,3.28613,0.002475709,4.69944643,4.69727,1
0.04937249,3.2888381,3.28613,0.002571211,4.69937312,4.69727,1
0.030488207,1.94320303,1.93848,0.00205048,4.701052,4.70215,1
0.181021221,1.93037577,1.87988,0.002177613,4.70081288,4.70215,1
0.048060675,1.98523906,1.9873,0.001794163,4.70137896,4.70215,1
0.03382979,1.99407689,1.99219,0.001597954,4.70155464,4.70215,1
0.033729595,2.0173485,2.01172,0.001407287,4.70171568,4.70215,1
0.001890331,4.7021012,4.70215,0.077789573,2.63870623,2.63184,1
0.001852113,4.7021988,4.70215,0.068573695,2.63586918,2.63672,1
0.00183943,4.70211096,4.70215,0.070650822,2.52941914,2.5293,1
0.001884338,4.70218416,4.70215,0.080156064,2.41561056,2.41211,1
0.001934433,4.70230616,4.70215,0.052139561,2.38379428,2.3877,1
0.0024995,4.70415568,4.70215,0.048546115,1.63369651,1.63086,2
0.002493317,4.70412152,4.70215,0.049814832,1.55692377,1.55273,2
0.002541568,4.7041264,4.70215,0.039353609,1.55730471,1.55273,2
0.002508169,4.7040532,4.70215,0.063609769,1.56620118,1.55762,2
0.002562194,4.70408736,4.70215,0.03414141,1.58805193,1.58691,2
0.014796535,1.28776417,1.28906,0.0543364,2.88888163,2.89062,2
0.009552788,0.87212349,0.86914,0.057135777,3.62577167,3.62793,2
0.00992611,0.89594149,0.89355,0.069057843,3.70583013,3.71094,2
0.019153237,1.06496097,1.06934,0.073536596,3.6126174,3.62305,2
0.017123281,1.2337889,1.23535,0.063388571,3.60373553,3.6084,2
0.485198322,1.7815968,1.66992,0.02581293,0.40984869,0.41016,2
0.204239567,2.77124528,2.73682,0.029087723,0.42568784,0.4248,2
0.192384304,2.92129889,2.92969,0.02332708,0.42032173,0.41992,2
0.561070998,2.38305699,2.17285,0.02500161,0.42503826,0.4248,2
1.835064484,2.77357409,3.293455,0.028153315,0.42526293,0.4248,2
0.028480249,1.94760237,1.94336,0.002282341,4.70060303,4.70215,2
0.031919991,1.85205564,1.85059,0.00214692,4.70087144,4.70215,2
0.032102085,1.81000994,1.80664,0.001985173,4.70113008,4.70215,2
0.031063245,1.80938005,1.80664,0.002007529,4.70111543,4.70215,2
0.063450846,2.00430159,2.00684,0.00174745,4.70142776,4.70215,2
0.001933194,4.7020768,4.70215,0.087391252,2.63500502,2.63184,2
0.001895489,4.70206703,4.70215,0.070831014,2.61019533,2.6123,2
0.001890787,4.70217927,4.70215,0.061710386,2.5819142,2.58301,2
0.001813089,4.7021988,4.70215,0.162559252,2.55060566,2.53418,2
0.002011212,4.70223783,4.70215,0.0725316,2.4268313,2.42188,2
0.041168421,3.09971675,3.10059,0.002502279,4.69929022,4.69727,2
0.047220749,3.14212421,3.14453,0.002433331,4.69934398,4.69727,2
0.087878926,3.14656255,3.13965,0.002485682,4.69956843,4.69727,2
0.046971539,3.16115245,3.16406,0.002450296,4.69965143,4.69727,2
0.100914205,3.23930173,3.22754,0.002486858,4.69946106,4.69727,2
0.027673236,0.40981458,0.41016,0.166036338,1.39250998,1.34766,3
2.040067765,2.72363326,4.27734,0.044523687,1.38381327,1.37695,3
0.002476433,4.70388728,4.70215,0.079093224,1.4430372,1.42578,3
0.00254674,4.70415568,4.70215,0.036541416,1.46910188,1.46484,3
1.250119976,4.20745652,4.70215,0.070424961,1.46353522,1.46484,3
0.018541314,1.36252426,1.3623,0.043308716,1.72313974,1.72363,3
0.013902554,1.23014144,1.23047,0.037498961,1.73917509,1.74316,3
0.040173717,1.26765643,1.26465,0.042368829,1.80233417,1.80664,3
0.016646266,1.37887675,1.38184,0.041574683,1.82890146,1.83594,3
0.020377442,1.30842839,1.31348,0.047950784,1.96485837,1.96289,3
0.084636926,1.56902852,1.55762,0.042382267,0.53397982,0.52246,3
0.095356957,1.551919,1.53809,0.035075567,0.50602581,0.50293,3
0.059836029,1.53508799,1.52832,0.024336479,0.44884297,0.44922,3
0.068473836,1.6949172,1.68945,0.025403685,0.45267576,0.4541,3
0.083301655,1.77170436,1.7627,0.026303825,0.42564883,0.4248,3
0.002274591,4.69879743,4.69727,0.029206709,2.32854959,2.32422,3
0.0326007,2.26474647,2.26074,0.002398848,4.69920735,4.69727,3
0.03232336,2.23554742,2.23145,0.002418473,4.69925614,4.69727,3
0.054452852,2.20398442,2.19238,0.002438407,4.69959288,4.69727,3
0.040765659,2.03973644,2.03613,0.002455769,4.69986614,4.70215,3
0.001863357,4.70247207,4.70215,0.091546165,2.97691414,2.97852,3
0.001993472,4.70232568,4.70215,0.080027949,2.83831558,2.83203,3
0.002000397,4.70220855,4.70215,0.083367038,2.76496599,2.75879,3
0.001935511,4.70235984,4.70215,0.091630995,2.73911148,2.72949,3
0.001870115,4.70223296,4.70215,0.054706259,2.70364774,2.70508,3
0.05157155,2.26941412,2.27539,0.707309939,3.80265646,4.118655,3
0.038413204,2.12518072,2.12402,0.087535523,4.64651562,4.69727,3
0.449670752,2.50942407,2.37793,0.002454702,4.69943181,4.69727,3
0.09586045,2.71748069,2.73438,1.188586788,0.42523244,0.05859,3
0.053747321,2.79706064,2.79785,0.001961526,0.05761889,0.05859,3
1.788855102,3.71839384,4.70215,0.069528021,1.47439959,1.46484,4
0.002467634,4.70419472,4.70215,0.049871886,1.59640161,1.5918,4
0.002524515,4.70413616,4.70215,0.063188429,1.57914556,1.57715,4
0.002537926,4.70410688,4.70215,0.04023826,1.55372562,1.55273,4
0.002509019,4.70415568,4.70215,0.032304423,1.57958511,1.57715,4
0.009447682,0.89325129,0.89355,0.035108177,2.04720252,2.05078,4
0.009088353,0.90930653,0.9082,0.043708728,2.16011718,2.16309,4
0.014219733,1.24893556,1.25,0.053912506,2.44751982,2.44629,4
0.0092901,0.88658671,0.88379,0.059014299,2.17699726,2.17285,4
0.014496827,1.26460949,1.26465,0.047872946,2.68934126,2.69531,4
0.083673215,1.76119644,1.74805,0.024810964,0.42286528,0.4248,4
0.26891456,1.86239262,1.83105,0.027575467,0.42439894,0.4248,4
0.065475938,1.85385771,1.85059,0.023830382,0.42457404,0.4248,4
0.076631564,1.73726559,1.72852,0.025329974,0.41521471,0.41504,4
0.074680603,1.73872586,1.73828,0.025192191,0.41195796,0.41016,4
0.027562832,2.01842277,2.0166,0.002408571,4.70016383,4.70215,4
0.043579939,1.93882324,1.93359,0.002432598,4.70008086,4.70215,4
0.029694186,1.91284682,1.90918,0.002322544,4.70046152,4.70215,4
0.032939188,1.90025408,1.89453,0.002271836,4.70060304,4.70215,4
0.038331209,1.90995124,1.90918,0.002247912,4.7006616,4.70215,4
0.001983251,4.70214512,4.70215,0.079969243,2.74695825,2.74414,4
0.001792428,4.7022232,4.70215,0.07794475,2.75063977,2.74902,4
0.00178684,4.70211096,4.70215,0.069541598,2.74096684,2.73926,4
0.001983203,4.70213536,4.70215,0.079731605,2.71492207,2.71484,4
0.001940339,4.70218904,4.70215,0.065608381,2.68119652,2.68555,4
0.036785453,2.84015602,2.8418,0.005331597,0.05803437,0.05859,4
0.032971061,2.8642821,2.86621,1.422854192,4.18487071,4.69727,4
0.037760124,2.87825667,2.88086,0.002477969,4.69960748,4.69727,4
0.037996398,2.92903773,2.92969,0.002424741,4.69942696,4.69727,4
0.072144659,3.05393555,3.05664,0.002453202,4.69928539,4.69727,4
0.002526629,4.70409712,4.70215,0.062135459,1.61789585,1.61133,1
0.002540672,4.70412152,4.70215,0.038785366,1.50969255,1.50879,1
0.002529444,4.70411176,4.70215,0.037989808,1.59747571,1.5918,1
0.002488604,4.70409712,4.70215,0.049119261,1.58068386,1.57715,1
0.002509589,4.70410688,4.70215,0.049143332,1.57651368,1.57227,1
0.009032797,0.85039493,0.84961,0.055684269,3.34875009,3.34961,1
0.010098131,0.86964294,0.86914,0.082017232,3.56663596,3.5791,1
0.033851822,1.15213927,1.15723,0.058654322,3.47946309,3.48145,1
0.014426329,1.2220751,1.2207,0.050239609,3.61185553,3.61816,1
0.048454821,1.20685547,1.22559,0.108600419,3.85051742,3.83301,1
0.858203421,1.45041031,1.691895,0.029602814,0.40548349,0.40527,1
0.339860783,2.89836429,2.82715,0.025300902,0.40316908,0.40039,1
0.356255851,2.60046896,2.59277,0.023552227,0.42295858,0.4248,1
0.107682381,3.0920217,3.07617,0.024158494,0.4383692,0.43945,1
0.420641745,2.96331565,2.9248,0.02542954,0.4473046,0.44922,1
0.049535031,3.07788086,3.07617,0.002463866,4.69942692,4.69727,1
0.177624929,3.14701674,3.12012,0.002493001,4.69935368,4.69727,1
0.037447675,3.21430675,3.21777,0.00246899,4.69947572,4.69727,1
0.037749428,3.28328636,3.28613,0.002475709,4.69944643,4.69727,1
0.04937249,3.2888381,3.28613,0.002571211,4.69937312,4.69727,1
0.030488207,1.94320303,1.93848,0.00205048,4.701052,4.70215,1
0.181021221,1.93037577,1.87988,0.002177613,4.70081288,4.70215,1
0.048060675,1.98523906,1.9873,0.001794163,4.70137896,4.70215,1
0.03382979,1.99407689,1.99219,0.001597954,4.70155464,4.70215,1
0.033729595,2.0173485,2.01172,0.001407287,4.70171568,4.70215,1
0.001890331,4.7021012,4.70215,0.077789573,2.63870623,2.63184,1
0.001852113,4.7021988,4.70215,0.068573695,2.63586918,2.63672,1
